lat,lng,property_name
13.8284612,100.5273827,The Parkland Ratchada - Wongsawang 
13.9594665,100.625421,Pluksa Thani Fifth Condotel 
13.7250946,100.5686699,Condo One X Sukhumvit 26 
13.6904149,100.5049008,Lumpini Place Rama III-Riverview 
13.7130193,100.6000635,The Base Park West Sukhumvit 77 
13.7234099,100.5445024,The Shade Condo Sathorn 1 
13.6798304,100.6241739,The Series Udomsuk 
13.775175,100.4810918,Lumpini Place Pinklao 1 
13.7538603,100.529565,Maestro 12 
13.8013155,100.5812408,The Raffles 
13.776648,100.5824604,Samran Mansion 
13.8792866,100.5979326,Knightsbridge​ Phaholyothin​ - Interchange​ 
13.7346385,100.5506555,Noble Above Wireless Ruamrudee 
13.7247389,100.5833316,SOCIO Reference 61 
13.7873112,100.5461025,Harmony Living Paholyothin 11 
13.8303234,100.5697366,The Seed Terre Ratchayothin 
13.7323949,100.5096359,Banyan Tree Residences Riverside Bangkok 
13.6765615,100.6031484,Beyond Sukhumvit 
13.7173676,100.5762858,Vtara Sukhumvit 36 
13.7067775,100.6233339,Eastwood Park 
13.75479,100.5260011,Supalai Premier Ratchathewi 
13.726177,100.5679592,Baan Siri 24 
13.7613896,100.6372125,Niche Mono Ramkhamhaeng 
13.7508749,100.5292931,Maestro 14 Siam - Ratchathewi 
13.7872084,100.5770531,Maxxi Prime Ratchada - Sutthisan 
13.7909369,100.5746579,Life at Ratchada - Suthisan 
13.7539429,100.564297,Chewathai Residence Asoke 
13.722577,100.5878911,Click Condo Sukhumvit 65 
13.7423267,100.5414647,Magnolias Ratchadamri Boulevard [Leasehold] 
13.7436397,100.5564011,Hyde Sukhumvit 11 
13.757179,100.535399,Noble Revent 
13.7806789,100.5433195,Aree Place Phahonyothin 
13.8252974,100.6306672,Baan Navatara 
13.7518203,100.5797896,Garden Asoke - Rama 9 
13.7436,100.5671864,Q Prasarnmit 
13.8167455,100.5493011,Bangkok Feliz Major Ratchayothin 
13.7405995,100.5708083,D.S. Tower 2 Sukhumvit 39 
13.7441683,100.585446,Thru Thonglor 
13.785965,100.5491769,Chateau In Town Phaholyothin 14 
13.7166067,100.5469219,Baan Siriyenakat 
13.7408068,100.5724307,The Cadogan Private Residences 
13.7240534,100.5328339,Pearl Garden 
13.7107766,100.5198909,Blossom Condo @ Sathorn-Charoenrat 
13.7520356,100.5328073,Baan Klang Krung Siam-Pathumwan 
13.7471842,100.5516062,Park Ploenchit 
13.7438425,100.556695,The Prime 11 
13.7147829,100.6052066,Kawa Haus 
13.7549076,100.6262758,Inspire Place ABAC-Rama IX 
13.7492755,100.6364844,Cocoon Rama 9 
13.7310507,100.5744109,S47 Sukhumvit 
13.7287338,100.5156846,The Room Charoenkrung 30 
13.7741204,100.569539,Baan Klang Krung Resort (Ratchada 7) 
13.7095041,100.4962305,Tridhos City Marina 
13.7272462,100.5345479,Silom Terrace 
13.7310271,100.5827292,Le Cote Thonglor 8 
13.797263,100.5517915,M Jatujak 
13.7244511,100.5708952,Aree Place Sukhumvit 26 
13.7773093,100.5466888,SAVVI Phahol 2 
13.7304859,100.5819396,Eight Thonglor Residence 
13.6648923,100.6371263,The Niche Mono Bangna 
13.805165,100.5742029,Whizdom Avenue Ratchada - Ladprao 
13.7158442,100.5862656,Quintara Treehaus Sukhumvit 42 
13.7813444,100.5446239,Noble Reform 
13.74229,100.573202,Regent On The Park 3 
13.7520516,100.5340501,The Address Siam 
13.7443656,100.6029391,The Privacy Rama 9 
13.8308983,100.540261,Niche Mono Ratchavipha 
13.8919511,100.5822038,Sucharee Life Laksi-Chaengwattana 
13.7105375,100.6082873,IKON Sukhumvit 77 
13.8129233,100.5960777,Plum Condo Chokchai 4 
13.7758117,100.4830414,My Condo Pinklao 
13.8332338,100.578915,The Waterford Royal Suit Senanikom 
13.8900837,100.605816,Tempo Quad Phaholyothin-Saphanmai 
13.8128394,100.6393641,Totnes Kaset - Nawamin 
13.7478759,100.5283132,The Seed Memories Siam 
13.7265318,100.5674473,Serene Place Sukhumvit 24 
